Ac_no  ,client, Open_date , First_name, middle_name, Last_name, ssn      , Addl_1      , Addl_2   , City        , State, Zipcode, record_type, match_code, match_score, consumer_id, consumer_type, notification_no, notice_type, case_no , chapter, original chapter, date_filed, conversion_date, status, Status_date, PD_ssn   , PD_First_Name, PD_middle_Name, PD_lastt_Name, PD_suffix, PD_AKA, PD_AKA2, PD_DBA, PD_DBA2, PD_Addl_1      , PD_Addl_2, PD_City        , PD_State, PD_Zipcode, PD_phone, SD_ssn, SD_First_Name, SD_middle_Name, SD_lastt_Name, SD_suffix, SD_AKA, SD_AKA2, SD_DBA, SD_DBA2, SD_Addl_1, SD_Addl_2, SD_City, SD_State, SD_Zipcode, SD_phone, Judge_name        , prose_indicator, Attorny_ssn, Attorny_First_Name, Attorny_middle_Name, Attorny_lastt_Name, Attorny_suffix, Attorny_AKA, Attorny_AKA2, Attorny_DBA, Attorny_DBA2, Attorny_Addl_1, Attorny_Addl_2, Attorny_City, Attorny_State, Attorny_Zipcode, Attorny_phone,creditor_meeting_date,creditor_meeting_time,creditor_Addl_1,creditor_Addl_2,creditor_City     ,creditor_State,creditor_Zipcode,creditor_phone, trustee_name, Trustee_Addl_1 , Trustee_Addl_2, Trustee_City, Trustee_State, Trustee_Zipcode, Trustee_phone, Court_id, court_district  , Court_Addl_1, Court_Addl_2, Court_City, Court_State, Court_Zipcode, Court_phone, confirmation_date, Asset_indicator, Before_open, SASF    , Active_Status, Disposition_text, POC_bar_date, 
1000030,FD,2019-09-24,Richard,T,Garcia,282972466,2962 Main St,Suite 268,San Jose,NY,96949,New,M1,85,CID-771306,Corporate,NOTIF-1030,Bankruptcy,21-67047,7,7,2022-06-20,,Active,2022-09-05,248351135,Mary,M,Johnson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,585151799,Jane,K,Smith,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2023-01-19,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Closed,2023-01-19,
1000031,GECOM,2010-05-24,Michael,A,Johnson,337041526,4103 Main St,Apt 644,San Antonio,CO,57308,New,M1,88,CID-676518,Corporate,NOTIF-1031,Bankruptcy,23-11554,7,13,2024-09-02,,Active,2021-03-10,619907412,William,E,Brown,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,646357033,Linda,P,Taylor,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2025-01-15,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Closed,2025-01-15,
1000032,VP,2017-02-19,Patricia,A,Thomas,727216130,2725 Main St,Apt 794,San Antonio,IL,24619,Update,M1,96,CID-690625,SME,NOTIF-1032,Bankruptcy,21-82708,13,7,2021-12-22,,Active,2024-05-04,854808129,William,P,Johnson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,345232341,Jane,S,Brown,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2021-07-03,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case in Progress,2021-07-03,
1000033,DM,2017-06-15,Jane,A,Garcia,519383679,8530 Main St,Apt 710,San Jose,CO,47106,Existing,M1,87,CID-257900,SME,NOTIF-1033,Bankruptcy,23-28002,7,11,2021-07-19,,Closed,2021-12-17,280059243,Michael,J,Johnson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,674212388,Patricia,A,Johnson,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2022-11-24,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case in Progress,2022-11-24,
1000034,FD,2011-03-10,Richard,K,Thomas,987673708,2609 Main St,Apt 485,Los Angeles,AZ,25552,Existing,M1,87,CID-316317,SME,NOTIF-1034,Bankruptcy,21-64790,11,7,2021-04-01,,Closed,2020-07-01,203165967,Richard,S,Garcia,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,186789957,John,J,Anderson,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2023-10-08,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Closed,2023-10-08,
1000035,GECOM,2013-07-29,Linda,J,Taylor,125042903,3631 Main St,Apt 459,Phoenix,PA,53959,Update,M1,96,CID-376864,SME,NOTIF-1035,Bankruptcy,24-36606,13,13,2020-10-08,,Active,2020-01-02,104089459,Richard,E,Miller,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,460831218,Richard,S,Johnson,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2025-03-11,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Closed,2025-03-11,
1000036,VP,2020-06-17,Richard,J,Brown,629871154,3412 Main St,Suite 242,Chicago,PA,96422,Update,M1,99,CID-745801,Individual,NOTIF-1036,Bankruptcy,24-64003,13,11,2020-04-29,,Closed,2024-04-27,586952647,Richard,J,Thomas,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,939166920,Richard,R,Brown,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-07-18,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Dismissed,2020-07-18,
1000037,DM,2012-01-16,Robert,A,Thomas,745637975,8171 Main St,Suite 425,Dallas,TX,60374,Update,M1,84,CID-829675,Individual,NOTIF-1037,Bankruptcy,24-49839,7,13,2022-10-22,,Active,2024-02-13,214660736,Jennifer,K,Martinez,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,925330459,Jennifer,P,Thomas,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2021-11-11,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case in Progress,2021-11-11,
1000038,FD,2014-09-15,Mary,A,Johnson,116720873,1177 Main St,Apt 599,Dallas,TX,13898,Update,M1,87,CID-802684,Individual,NOTIF-1038,Bankruptcy,25-99408,7,11,2024-12-24,,Closed,2023-08-17,295354969,Jennifer,A,Taylor,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,556133488,Jennifer,E,Thomas,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2022-01-04,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Dismissed,2022-01-04,
1000039,GECOM,2010-09-27,Richard,R,Martinez,245931628,6506 Main St,Apt 422,Chicago,FL,88378,Existing,M1,81,CID-639455,SME,NOTIF-1039,Bankruptcy,23-68265,11,11,2023-05-22,,Pending,2021-02-14,603695248,Richard,E,Davis,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,690998908,Michael,J,Taylor,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2022-08-14,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case in Progress,2022-08-14,
1000040,VP,2011-06-03,Jane,E,Thomas,864111998,3912 Main St,Suite 644,Dallas,IL,76964,New,M1,83,CID-309532,Corporate,NOTIF-1040,Bankruptcy,24-41819,13,7,2022-10-14,,Active,2023-08-09,364241989,Jennifer,T,Garcia,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,826060828,William,T,Martinez,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2024-05-02,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Dismissed,2024-05-02,
1000041,DM,2020-04-10,Mary,P,Taylor,909183350,8309 Main St,Apt 325,New York,CO,13262,New,M1,94,CID-144747,Corporate,NOTIF-1041,Bankruptcy,21-46527,11,13,2024-06-13,,Pending,2025-06-08,426875219,Jennifer,P,Anderson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,569235282,Jennifer,P,Miller,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2024-09-15,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case in Progress,2024-09-15,
1000042,FD,2011-03-15,Richard,L,Martinez,334533744,8501 Main St,Suite 224,Los Angeles,CO,33625,Existing,M1,93,CID-207982,SME,NOTIF-1042,Bankruptcy,25-76715,11,7,2021-02-02,,Closed,2023-11-10,765093944,Patricia,E,Brown,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,771616385,Linda,L,Thomas,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-11-11,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Closed,2020-11-11,
1000043,GECOM,2023-04-22,Mary,J,Anderson,493807852,8402 Main St,Apt 784,Phoenix,WA,26433,Existing,M1,92,CID-515498,Corporate,NOTIF-1043,Bankruptcy,22-71455,13,7,2022-05-01,,Pending,2021-12-10,835710826,Jennifer,E,Brown,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,776104705,John,T,Taylor,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2022-09-27,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case in Progress,2022-09-27,
1000044,VP,2012-07-12,Robert,S,Martinez,819127305,8546 Main St,Apt 877,San Antonio,PA,31437,New,M1,83,CID-639856,SME,NOTIF-1044,Bankruptcy,23-26717,7,7,2024-03-26,,Closed,2023-10-07,438360453,Jane,P,Thomas,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,270184583,Robert,S,Davis,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2023-10-07,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Closed,2023-10-07,
1000045,DM,2020-07-02,Robert,K,Johnson,548494622,4881 Main St,Apt 901,Chicago,NY,48603,New,M1,92,CID-255195,Corporate,NOTIF-1045,Bankruptcy,21-30571,13,11,2024-04-28,,Active,2023-02-20,333886797,Jennifer,A,Johnson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,873877284,John,K,Johnson,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-06-05,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Dismissed,2020-06-05,
1000046,FD,2013-03-02,Jennifer,L,Brown,823798260,7112 Main St,Apt 922,Philadelphia,AZ,25622,Existing,M1,88,CID-821180,Corporate,NOTIF-1046,Bankruptcy,23-19314,7,7,2021-01-01,,Active,2023-05-17,794551033,Mary,L,Garcia,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,703355500,John,R,Taylor,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2022-08-16,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Dismissed,2022-08-16,
1000047,GECOM,2020-07-24,Jane,A,Smith,403694586,2331 Main St,Apt 845,Dallas,CO,21205,Existing,M1,91,CID-738074,Corporate,NOTIF-1047,Bankruptcy,24-28317,11,13,2025-01-18,,Active,2025-03-13,201061847,William,J,Garcia,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,598679552,Jennifer,L,Brown,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2024-04-23,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Dismissed,2024-04-23,
1000048,VP,2018-10-30,John,E,Davis,405159564,7768 Main St,Suite 830,Los Angeles,FL,56447,New,M1,96,CID-420640,Corporate,NOTIF-1048,Bankruptcy,24-22929,13,13,2023-02-16,,Closed,2022-06-01,754031241,Richard,L,Davis,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,417502323,Richard,M,Smith,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2022-07-04,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Dismissed,2022-07-04,
1000049,DM,2010-04-15,Mary,E,Johnson,285215051,2105 Main St,Suite 124,San Antonio,WA,40649,Update,M1,87,CID-107429,Corporate,NOTIF-1049,Bankruptcy,25-48217,13,13,2021-08-17,,Closed,2023-07-26,999710265,Jennifer,T,Garcia,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,120406986,Jennifer,P,Miller,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-02-18,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case in Progress,2020-02-18,
1000050,FD,2019-10-13,William,P,Garcia,525406923,9958 Main St,Apt 996,Dallas,CO,65584,New,M1,99,CID-478431,SME,NOTIF-1050,Bankruptcy,24-68398,7,11,2022-02-15,,Active,2021-03-07,913684357,Jane,R,Brown,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,405369560,Jane,E,Smith,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2022-12-18,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case in Progress,2022-12-18,
1000051,GECOM,2020-02-09,Richard,L,Anderson,806965266,5493 Main St,Suite 775,San Diego,NY,50660,Existing,M1,88,CID-723165,Individual,NOTIF-1051,Bankruptcy,22-70981,7,11,2025-04-17,,Closed,2020-03-16,661399768,Jennifer,A,Thomas,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,660397519,Linda,J,Brown,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-08-12,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case in Progress,2020-08-12,
1000052,VP,2014-12-23,Jane,S,Anderson,334112451,8461 Main St,Apt 194,Dallas,TX,48335,Update,M1,93,CID-509905,Individual,NOTIF-1052,Bankruptcy,24-52620,7,7,2021-07-21,,Active,2024-06-30,629245543,Richard,T,Davis,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,298430569,Robert,R,Davis,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-07-02,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Closed,2020-07-02,
1000053,DM,2017-04-04,Mary,P,Thomas,942535870,7448 Main St,Apt 373,San Diego,CO,29741,New,M1,86,CID-366153,Individual,NOTIF-1053,Bankruptcy,25-56083,7,7,2025-02-10,,Closed,2023-09-08,324065681,Michael,P,Johnson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,902473162,Michael,S,Smith,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-04-06,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Dismissed,2020-04-06,
1000054,FD,2010-03-29,Michael,T,Garcia,317701750,9287 Main St,Suite 374,San Diego,IL,99705,Existing,M1,97,CID-845812,Individual,NOTIF-1054,Bankruptcy,21-36396,11,13,2020-05-06,,Closed,2023-09-21,449626377,Robert,T,Taylor,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,333499954,John,S,Smith,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2022-12-13,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case in Progress,2022-12-13,
1000055,GECOM,2021-01-24,William,M,Miller,821848495,2537 Main St,Suite 221,Philadelphia,WA,81242,Existing,M1,87,CID-101128,Corporate,NOTIF-1055,Bankruptcy,24-35729,11,13,2020-10-21,,Active,2020-03-27,203981055,Jane,E,Davis,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,148242792,Robert,T,Martinez,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2021-05-17,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Closed,2021-05-17,
1000056,VP,2018-12-29,Mary,S,Brown,966197295,5119 Main St,Apt 985,San Jose,MA,75129,Update,M1,95,CID-283960,Corporate,NOTIF-1056,Bankruptcy,20-90140,13,13,2022-08-21,,Active,2024-06-04,294630370,John,L,Miller,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,953106140,John,T,Davis,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2021-07-21,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Closed,2021-07-21,
1000057,DM,2021-11-08,Linda,T,Miller,565227298,7162 Main St,Suite 823,Los Angeles,FL,12420,Update,M1,94,CID-661770,Corporate,NOTIF-1057,Bankruptcy,20-66876,11,11,2023-10-07,,Pending,2024-02-04,630042497,John,E,Davis,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,889526457,Jane,A,Anderson,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2023-04-09,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Closed,2023-04-09,
1000058,FD,2020-07-29,Robert,T,Anderson,632413280,6658 Main St,Suite 193,New York,IL,59011,Update,M1,88,CID-550746,Corporate,NOTIF-1058,Bankruptcy,20-48312,13,13,2021-12-10,,Pending,2020-10-01,710547159,John,L,Davis,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,190484795,Jennifer,P,Martinez,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2021-06-02,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Closed,2021-06-02,
1000059,GECOM,2010-12-09,William,A,Davis,806801551,4395 Main St,Suite 629,San Antonio,FL,23072,New,M1,98,CID-137859,Corporate,NOTIF-1059,Bankruptcy,24-77086,13,11,2020-07-30,,Closed,2021-05-04,632356551,Linda,P,Martinez,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,398661351,William,R,Davis,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2024-03-15,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Dismissed,2024-03-15,
1000060,VP,2010-08-14,Richard,A,Davis,494568144,9620 Main St,Apt 819,Chicago,CO,80253,Existing,M1,99,CID-190707,SME,NOTIF-1060,Bankruptcy,22-68871,13,13,2024-04-01,,Active,2020-07-13,241793276,Patricia,S,Taylor,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,931480714,John,E,Johnson,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-06-28,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case in Progress,2020-06-28,
1000061,DM,2016-05-03,Richard,P,Anderson,691857437,6117 Main St,Apt 785,San Jose,WA,49921,New,M1,92,CID-238506,Individual,NOTIF-1061,Bankruptcy,21-97960,7,11,2023-11-22,,Closed,2025-03-24,977898564,Jennifer,E,Thomas,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,181178433,Robert,J,Anderson,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2024-07-06,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Dismissed,2024-07-06,
1000062,FD,2017-06-16,Richard,R,Davis,331818806,9898 Main St,Suite 119,San Diego,PA,88348,New,M1,93,CID-541982,Individual,NOTIF-1062,Bankruptcy,23-46808,13,7,2022-05-16,,Closed,2020-07-31,955143652,Jennifer,L,Martinez,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,303636687,William,S,Martinez,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-03-25,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Closed,2020-03-25,
1000063,GECOM,2017-11-03,Robert,E,Anderson,623788472,9699 Main St,Suite 624,Philadelphia,AZ,64907,Update,M1,90,CID-476717,Corporate,NOTIF-1063,Bankruptcy,24-87841,7,13,2021-02-06,,Active,2023-01-21,761996389,Linda,S,Smith,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,583027471,Linda,J,Miller,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2023-09-15,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Closed,2023-09-15,
