Ac_no  , Open_date , First_name, middle_name, Last_name, ssn      , Addl_1      , Addl_2   , City        , State, Zipcode, record_type, match_code, match_score, consumer_id, consumer_type, notification_no, notice_type, case_no , chapter, original chapter, date_filed, conversion_date, status, Status_date, PD_ssn   , PD_First_Name, PD_middle_Name, PD_lastt_Name, PD_suffix, PD_AKA, PD_AKA2, PD_DBA, PD_DBA2, PD_Addl_1      , PD_Addl_2, PD_City        , PD_State, PD_Zipcode, PD_phone, SD_ssn, SD_First_Name, SD_middle_Name, SD_lastt_Name, SD_suffix, SD_AKA, SD_AKA2, SD_DBA, SD_DBA2, SD_Addl_1, SD_Addl_2, SD_City, SD_State, SD_Zipcode, SD_phone, Judge_name        , prose_indicator, Attorny_ssn, Attorny_First_Name, Attorny_middle_Name, Attorny_lastt_Name, Attorny_suffix, Attorny_AKA, Attorny_AKA2, Attorny_DBA, Attorny_DBA2, Attorny_Addl_1, Attorny_Addl_2, Attorny_City, Attorny_State, Attorny_Zipcode, Attorny_phone, 341_date  , 341_time, 341_Addl_1      , 341_Addl_2, 341_City     , 341_State, 341_Zipcode, 341_phone, trustee_name, Trustee_Addl_1 , Trustee_Addl_2, Trustee_City, Trustee_State, Trustee_Zipcode, Trustee_phone, Court_id, court_district  , Court_Addl_1, Court_Addl_2, Court_City, Court_State, Court_Zipcode, Court_phone, confirmation_date, Asset_indicator, Before_open, SASF    , Active_Status, Disposition_text, POC_bar_date, 
1000011, 2013-05-28, John      , T          , Garcia   ,384756191, 5748 Main St,          , Los Angeles , CA   ,90001, New        , M1        ,90, CID-584739 , Individual   , NOTIF-1010     , bankruptcy4 , 22-57483,14,7, 2021-08-08,                , Active, 2021-08-08 ,574839101, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77000, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,102938476, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     , 9/7/2021  , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77004, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75669, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2021-11-06  , 
1000006, 2014-01-05, Mary      , E          , Johnson  ,102938475, 2938 Main St, Apt 1    , Chicago     , IL   ,60601, New        , M1        ,91, CID-657483 , SME          , NOTIF-1006     , bankruptcy4 , 22-38475,10,13, 2021-12-20,                , Active, 2021-12-20 ,384756191, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77002, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,574839202, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     , 1/19/2022 , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77004, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2022-03-20  , 
1000002, 2012-11-30, Robert    , M          , Brown    ,592830173, 2847 Main St, Apt 1    , Houston     , TX   ,75828, New        , M1        ,87, CID-192837 , Individual   , NOTIF-1002     , bankruptcy4 , 22-10293,8,13, 2021-05-20,                , Active, 2021-05-20 ,102938476, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77000, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,293847560, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20002, 555-9000     , 6/19/2021 , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77003, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77004, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75669, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2021-08-18  , 
1000008, 2017-12-05, Patricia  , S          , Brown    ,203948575, 4758 Main St, Suite 200, Phoenix     , AZ   ,85003, New        , M1        ,95, CID-293847 , SME          , NOTIF-1009     , bankruptcy4 , 23-38475,10,14, 2022-10-25,                , Active, 2022-10-25 ,384756291, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77001, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,574839103, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     , 11/24/2022, 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77002, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2023-01-23  , 
1000005, 2014-01-05, Mary      , E          , Johnson  ,102938475, 2938 Main St,          , Chicago     , IL   ,60602, New        , M1        ,90, CID-657483 , SME          , NOTIF-1006     , bankruptcy4 , 22-38475,11,14, 2021-12-20,                , Active, 2021-12-20 ,384756191, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77001, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,574839202, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     , 1/19/2022 , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77002, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75671, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2022-03-20  , 
1000010, 2013-05-28, John      , T          , Garcia   ,384756192, 5748 Main St, Suite 200, Los Angeles , CA   ,90003, New        , M1        ,90, CID-584739 , Individual   , NOTIF-1010     , bankruptcy4 , 22-57483,14,8, 2021-08-08,                , Active, 2021-08-08 ,574839102, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77001, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,102938474, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20002, 555-9000     , 9/7/2021  , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77001, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77004, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75671, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2021-11-06  , 
1000006, 2019-09-18, Jane      , L          , Garcia   ,293847561, 4829 Main St, Suite 200, Los Angeles , CA   ,90001, New        , M1        ,98, CID-203948 , Corporate    , NOTIF-1005     , bankruptcy4 , 23-19283,8,6, 2022-03-15,                , Active, 2022-03-15 ,203948576, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77002, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,475869203, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     , 4/14/2022 , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77001, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75671, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2022-06-13  , 
1000000, 2015-04-12, Michael   , J          , Smith    ,492671845, 9384 Main St, Suite 200, Chicago     , IL   ,38472, New        , M1        ,96, CID-482910 , Corporate    , NOTIF-1001     , bankruptcy4 , 23-58291,14,7, 2022-08-15,                , Active, 2022-08-15 ,938471029, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77002, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,582910383, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     , 9/14/2022 , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77004, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75671, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2022-11-13  , 
1000002, 2018-02-14, Patricia  , A          , Davis    ,601928373, 1029 Main St, Apt 1    , New York    , NY   ,10001, New        , M1        ,91, CID-573829 , SME          , NOTIF-1003     , bankruptcy4 , 23-48291,10,7, 2023-01-10,                , Active, 2023-01-10 ,482910572, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77000, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,192837465, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20000, 555-9000     , 2/9/2023  , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2023-04-10  , 
1000004, 2010-06-25, John      , K          , Miller   ,394857261, 5738 Main St,          , Phoenix     , AZ   ,85001, New        , M1        ,84, CID-839201 , Individual   , NOTIF-1004     , bankruptcy4 , 22-57382,12,12, 2021-09-05,                , Active, 2021-09-05 ,573829103, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77000, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,384756291, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20000, 555-9000     , 10/5/2021 , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77004, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75669, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2021-12-04  , 
1000010, 2017-12-05, Patricia  , S          , Brown    ,203948577, 4758 Main St, Suite 200, Phoenix     , AZ   ,85002, New        , M1        ,95, CID-293847 , SME          , NOTIF-1009     , bankruptcy4 , 23-38475,10,13, 2022-10-25,                , Active, 2022-10-25 ,384756291, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77000, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,574839101, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20002, 555-9000     , 11/24/2022, 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77003, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77004, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75669, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2023-01-23  , 
1000001, 2012-11-30, Robert    , M          , Brown    ,592830175, 2847 Main St,          , Houston     , TX   ,75830, New        , M1        ,87, CID-192837 , Individual   , NOTIF-1002     , bankruptcy4 , 22-10293,6,14, 2021-05-20,                , Active, 2021-05-20 ,102938475, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77000, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,293847561, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20000, 555-9000     , 6/19/2021 , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77001, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75671, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2021-08-18  , 
1000007, 2014-01-05, Mary      , E          , Johnson  ,102938474, 2938 Main St, Suite 200, Chicago     , IL   ,60601, New        , M1        ,92, CID-657483 , SME          , NOTIF-1006     , bankruptcy4 , 22-38475,11,12, 2021-12-20,                , Active, 2021-12-20 ,384756191, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77001, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,574839202, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     , 1/19/2022 , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77003, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2022-03-20  , 
1000006, 2016-08-22, Robert    , P          , Smith    ,583920174, 1928 Main St, Apt 1    , Houston     , TX   ,77002, New        , M1        ,87, CID-102938 , Individual   , NOTIF-1007     , bankruptcy4 , 23-57483,12,6, 2022-07-01,                , Active, 2022-07-01 ,574839201, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77002, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,293847103, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20002, 555-9000     , 7/31/2022 , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77001, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2022-09-29  , 
1000010, 2013-05-28, John      , T          , Garcia   ,384756192, 5748 Main St, Suite 200, Los Angeles , CA   ,90003, New        , M1        ,90, CID-584739 , Individual   , NOTIF-1010     , bankruptcy4 , 22-57483,14,6, 2021-08-08,                , Active, 2021-08-08 ,574839102, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77002, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,102938474, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20002, 555-9000     , 9/7/2021  , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77001, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77004, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2021-11-06  , 
1000007, 2014-01-05, Mary      , E          , Johnson  ,102938475, 2938 Main St, Apt 1    , Chicago     , IL   ,60601, New        , M1        ,90, CID-657483 , SME          , NOTIF-1006     , bankruptcy4 , 22-38475,10,13, 2021-12-20,                , Active, 2021-12-20 ,384756191, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77001, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,574839202, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     , 1/19/2022 , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77002, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2022-03-20  , 
1000005, 2014-01-05, Mary      , E          , Johnson  ,102938476, 2938 Main St, Apt 1    , Chicago     , IL   ,60602, New        , M1        ,90, CID-657483 , SME          , NOTIF-1006     , bankruptcy4 , 22-38475,10,12, 2021-12-20,                , Active, 2021-12-20 ,384756193, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77000, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,574839202, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20002, 555-9000     , 1/19/2022 , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75671, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2022-03-20  , 
1000006, 2016-08-22, Robert    , P          , Smith    ,583920175, 1928 Main St, Apt 1    , Houston     , TX   ,77002, New        , M1        ,87, CID-102938 , Individual   , NOTIF-1007     , bankruptcy4 , 23-57483,12,8, 2022-07-01,                , Active, 2022-07-01 ,574839200, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77000, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,293847103, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20000, 555-9000     , 7/31/2022 , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77004, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75671, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2022-09-29  , 
1000002, 2015-04-12, Michael   , J          , Smith    ,492671845, 9384 Main St, Suite 200, Chicago     , IL   ,38472, New        , M1        ,96, CID-482910 , Corporate    , NOTIF-1001     , bankruptcy4 , 23-58291,12,7, 2022-08-15,                , Active, 2022-08-15 ,938471030, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77001, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,582910383, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20002, 555-9000     , 9/14/2022 , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77003, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77002, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75669, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2022-11-13  , 
1000002, 2015-04-12, Michael   , J          , Smith    ,492671844, 9384 Main St, Suite 200, Chicago     , IL   ,38473, New        , M1        ,95, CID-482910 , Corporate    , NOTIF-1001     , bankruptcy4 , 23-58291,14,6, 2022-08-15,                , Active, 2022-08-15 ,938471028, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77002, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,582910385, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20002, 555-9000     , 9/14/2022 , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77001, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2022-11-13  , 
1000008, 2017-12-05, Patricia  , S          , Brown    ,203948577, 4758 Main St, Suite 200, Phoenix     , AZ   ,85001, New        , M1        ,96, CID-293847 , SME          , NOTIF-1009     , bankruptcy4 , 23-38475,10,13, 2022-10-25,                , Active, 2022-10-25 ,384756292, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77002, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,574839102, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     , 11/24/2022, 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77003, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77002, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2023-01-23  , 
1000002, 2018-02-14, Patricia  , A          , Davis    ,601928375, 1029 Main St, Apt 1    , New York    , NY   ,10001, New        , M1        ,93, CID-573829 , SME          , NOTIF-1003     , bankruptcy4 , 23-48291,11,8, 2023-01-10,                , Active, 2023-01-10 ,482910574, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77001, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,192837465, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     , 2/9/2023  , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77003, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2023-04-10  , 
1000005, 2010-06-25, John      , K          , Miller   ,394857262, 5738 Main St, Suite 200, Phoenix     , AZ   ,85002, New        , M1        ,85, CID-839201 , Individual   , NOTIF-1004     , bankruptcy4 , 22-57382,14,12, 2021-09-05,                , Active, 2021-09-05 ,573829105, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77000, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,384756291, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20002, 555-9000     , 10/5/2021 , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77003, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77004, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75669, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2021-12-04  , 
1000006, 2016-08-22, Robert    , P          , Smith    ,583920173, 1928 Main St, Apt 1    , Houston     , TX   ,77001, New        , M1        ,88, CID-102938 , Individual   , NOTIF-1007     , bankruptcy4 , 23-57483,12,8, 2022-07-01,                , Active, 2022-07-01 ,574839201, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77000, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,293847102, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20002, 555-9000     , 7/31/2022 , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77003, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2022-09-29  , 
1000007, 2011-03-10, Michael   , R          , Davis    ,475869203, 3847 Main St,          , New York    , NY   ,10009, New        , M1        ,95, CID-485920 , Corporate    , NOTIF-1008     , bankruptcy4 , 22-19283,7,12, 2021-11-15,                , Active, 2021-11-15 ,192837466, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77001, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,384756290, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     , 12/15/2021, 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77001, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75669, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2022-02-13  , 
1000001, 2015-04-12, Michael   , J          , Smith    ,492671846, 9384 Main St, Suite 200, Chicago     , IL   ,38473, New        , M1        ,95, CID-482910 , Corporate    , NOTIF-1001     , bankruptcy4 , 23-58291,14,6, 2022-08-15,                , Active, 2022-08-15 ,938471029, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , bankruptcy4 City, TX      ,77000, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,582910385, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20002, 555-9000     , 9/14/2022 , 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77003, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77004, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75669, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress, 2022-11-13  , 
